"","blurb","state"
"1","Using their own character, users go on educational quests around a virtual world leveling up subject-oriented skills (ie Physics).","failed"
"2","MicroFly is a quadcopter packed with WiFi, 6 sensors, and 3 processors for ultimate stability -- and fits in the palm of your hand.","successful"
"3","A small indie press, run as a collective for authors who want to self-publish, and a sexy, smart , hilarious novel!","failed"
"4","Zylor is a new baby cosplayer! Back this kickstarter to help fund new cosplay photoshoots to share his cuteness with the world!","failed"
"5","Hatoful Boyfriend meet Skeletons! A comedy Dating Sim that puts you into a high school full of Skeletons. Rattle some Bones!","failed"
"6","FastMan is a Infinite running platformer. Go in FastMan's shoes and run through the platform dodging obstacles.","failed"
"7","FADE. A dark and somber RPG about survival and hope.(Legend of Zelda/Fable Inspired)","failed"
"8","The next generation of space combat with online progression, leveling, an arsenal of ships, weapons and much more!","failed"
"9","Whip around planets and smash your way to victory in this video game of galactic proportions!",successful
"10","Sneak in, find treasures, avoid cats and collect the loot before time runs out!",failed
"11","A unique 3rd person, 3D, open world puzzle adventure game, filled full of wondrous surprises and mysteries.",failed
"12","Echo-S is a mod to be incorporated into the game Final Fantasy 7 as a nostalgic means for the original fans as well as newcomer's",failed
"13","Game development & design made easy and fun. Learn C++ and Blueprints using Unreal 4. Create your first 2D & 3D games now!",failed
"14","GangWars ARC is an action packed PvE addon to GangWars where you earn unique armors, weapons and accessories",failed
"15","A team based first person shooter!",failed
"16","Super Babies: World of Trouble, Inspired by my 4month old baby boy puts you in the diaper of a baby as you battle the world",failed
"17","Action RPG set in Scifi/fantasy world with horror, strategy, base building, base management and crafting.",failed
"18","Plugged is a new breed of video game, ""look-and-click adventure"". Developed with Unreal Engine 4, best experienced with Oculus Rift.",failed
"19","Studly the Muffin must save the world from the menacing evil that was brought onto the land by the Muffin man and his army of sweets.",failed
"20","A new YouTube web show focused on classic video games, gaming history, and collecting.",failed
"21","Experience rock climbing, fishing and hunting, crafting, swimming, rafting, survival, and more with Vanished. #surivetheisland",successful
"22","Astonia Reborn is a fantasy MMORPG with a character building system unlike any other, full of pvp, pve, 2.5D isometric. Simply Unique.",successful
"23","An Boost for total Ooze-a-fication.",successful
"24","A completely new Inherit the Earth game by the creators of the original. Help us continue the adventure and create a great game.",successful
"25","We will convert your real mobile phone into your worst enemy. Are you ready for real horror?",successful
"26","A deeply crafted platformer about a deep sea cyberfish out of water. Think Super Meat Boy meets Rayman meets Finding Dory!",successful
"27","Radix is a 2D open-world puzzle platformer based on exploration with a pixel art style reminiscent of popular games of the past.",successful
